Always equal to ACS Summary File identification,State Postal Abbreviation,Geographic Identifier,Area Name,Tribal Tract,Tribal Block Group,FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),ZIP Code Tabulation Area (3-digit),Qualified Area Name,Total_Pop,Percent_Pov
ACSSF,NY,1400000US36001000100,"Census Tract 1, Albany County, New York",,,36001000100,2367456,245021,36,,"Census Tract 1, Albany County, New York",2156,35.54
ACSSF,NY,1400000US36001000201,"Census Tract 2.01, Albany County, New York",,,36001000201,615867,0,36,,"Census Tract 2.01, Albany County, New York",2519,42.93
ACSSF,NY,1400000US36001000202,"Census Tract 2.02, Albany County, New York",,,36001000202,1441490,0,36,,"Census Tract 2.02, Albany County, New York",2436,50.44
ACSSF,NY,1400000US36001000301,"Census Tract 3.01, Albany County, New York",,,36001000301,659499,0,36,,"Census Tract 3.01, Albany County, New York",2378,30.08
ACSSF,NY,1400000US36001000302,"Census Tract 3.02, Albany County, New York",,,36001000302,5097939,55326,36,,"Census Tract 3.02, Albany County, New York",3273,25.74
ACSSF,NY,1400000US36001000401,"Census Tract 4.01, Albany County, New York",,,36001000401,9037500,86162,36,,"Census Tract 4.01, Albany County, New York",2321,8.85
ACSSF,NY,1400000US36001000403,"Census Tract 4.03, Albany County, New York",,,36001000403,3138700,0,36,,"Census Tract 4.03, Albany County, New York",4131,12.62
ACSSF,NY,1400000US36001000404,"Census Tract 4.04, Albany County, New York",,,36001000404,1869128,84679,36,,"Census Tract 4.04, Albany County, New York",5303,
ACSSF,NY,1400000US36001000501,"Census Tract 5.01, Albany County, New York",,,36001000501,547290,0,36,,"Census Tract 5.01, Albany County, New York",3992,74.79
ACSSF,NY,1400000US36001000502,"Census Tract 5.02, Albany County, New York",,,36001000502,777455,0,36,,"Census Tract 5.02, Albany County, New York",3594,16.38
ACSSF,NY,1400000US36001000600,"Census Tract 6, Albany County, New York",,,36001000600,506881,0,36,,"Census Tract 6, Albany County, New York",3153,60.64
ACSSF,NY,1400000US36001000700,"Census Tract 7, Albany County, New York",,,36001000700,1593935,14749,36,,"Census Tract 7, Albany County, New York",3744,29.72
ACSSF,NY,1400000US36001000800,"Census Tract 8, Albany County, New York",,,36001000800,344412,0,36,,"Census Tract 8, Albany County, New York",1362,73.87
ACSSF,NY,1400000US36001001100,"Census Tract 11, Albany County, New York",,,36001001100,1740188,264496,36,,"Census Tract 11, Albany County, New York",2074,0
ACSSF,NY,1400000US36001001400,"Census Tract 14, Albany County, New York",,,36001001400,752787,25632,36,,"Census Tract 14, Albany County, New York",3594,0
ACSSF,NY,1400000US36001001500,"Census Tract 15, Albany County, New York",,,36001001500,582402,0,36,,"Census Tract 15, Albany County, New York",5664,7.6
ACSSF,NY,1400000US36001001600,"Census Tract 16, Albany County, New York",,,36001001600,915228,0,36,,"Census Tract 16, Albany County, New York",4607,11.15
